Id,Predicted
d14cb73158624cf094c546d856fd3c80,뉴
906631384e91493ebe1c7f34aea6f241,"의도적으로 여객기 하강버튼을 눌렀고, 여객기의 하강속도가 빨라졌다”며 “사고 직전 조종석 밖에 있던 조종사가 문을 여러 차례 두드리고 소리를 질렀지만, 부조종사는 문을 열지 않았다”고 설명했다. 그는 “마지막 순간까지 부조종사의 호흡은 정상이었으며 조종실에서는 침묵이 흘렀다”고 덧붙였다.부조종사는 28세인 독일 국적의 안드레아스"
35e61dcb479643448a2cb7d326ae50a6,미국
075e761b370040cb9041eecd39afc27c,“톱 50 가운데 22개가 IT 기업
e67ed38f3dd944be94d5b4c53731f334,백혈병
80cacfdfe76442b0b39568e8b193d066,36.5% 감소했다. 작년 같은 달의 1조7939억원과 비교해도 22.9% 줄어든 수치다. 수년간 연 10% 안팎의 고수익을 내던 DLS가 줄줄이 손실 위기에 직면하자 판매 중단에 나선 증권사들이 늘었다는 설명이다. 만기가 3년짜리인 DLS의 경우 보통 원자재값이 발행 당시 대비 50% 미만으로 하락하지만 않으면 높은 수익을 보장하지만 이 밑으로 떨어지면 원금 손실이 발생하는 구조다. 삼성증권 대신증권 신한금융투자 등은 원금이 보장되지 않는 DLS를 아예 취급하지 않고 있다. 서형종 대신증권 패밀리오피스부 팀장은 “2~3년 전 DLS를 발행할 때 실물자산 가격이 이처럼 떨어질 것으로 예상하기 어려웠다”고 설명했다.DLS의 기초자산인 서부텍사스원유(WTI) 가격은 올 6월만 해도 배럴당 100~100달러 선이었지만 현재 66~67달러
78a80cca941c46379a5c65b2f1392f7c,25일 코레일에 ‘각종 개발사업에 대한 출자 관련 업무절차 알림’이라는 공문을 통해 공공기관 지분이 30% 이상인 부대사업을 추진할 경우에는 세부 계획을 국토부에 알려줄 것을 요구했다. 현행 ‘공공기관 운영에 관한 법률’에 따르면 공기업 출자 지분이 30% 이상인 회사는 기획재정부 장관이 공공기관으로 지정할 수 있도록 돼 있다. 또 주무부처 장관은 이 같은 공공기관 신규 지정 사유가 발생하면 재정부 장관에게 통보해야 한다.건설업계에서는 국토부가 법률에 명시된 내용에 대해 별도의 사전 협의를 주문한 것은 코레일이 추진 중인 용산 개발사업 자본금 5조원 증자 방안에 반대 의사를 표명한 것으로 보고 있다.코레일은 지난달 시행사에서 받을 땅(용산 철도정비창)값 가운데 2조6000억원을 자본금으로 전환하면 민간 출자사들도 1조4000억원을 수혈해 현재 1조원인 시행사 자본금을 5조원으로 늘리자고 제안했다. 이어 지난 15일 발표한 정상화 방안에도 시행사 자본금을 5조원
5c19b9781f8a4f0faa9045274c38a8b4,"숙박시설에서는 마스크 미 착용시, 체크인이 불가하며, 비 접촉식 체온 확인 후 입실이 가능하다. 또한 로비, 엘리베이터 바닥 등에 1m 간격으로 마크를 부착하여, 사회적 거리 두기를 준수할 수 있게 했다. 그 외에도 객실 앞으로 식사 배달, 전 숙박시설 소독, 직원들의 마스크 착용 의무화 등의 조치로 안전한 휴식을 돕고 있다. 식당 매장 운영은 전체 50%의 가동률로 오후 9시까지 영업이 가능하며, 고객과 직원 간 일정한 거리를 유지해야 한다. 또한 테이블 당 거리가 1m를 유지해야 하며, 뷔페 레스토랑의 경우, 원하는 음식을 주문서에 표시한 뒤, 직원이 접시에 담아 음식을 가져다 주는 형식으로 운영된다. 공공의 위생을 위해, 직원에게 직접 현금을 건네는 접촉 결제는 불가하다. 지역사회 격리조치 기간 동안 대중 교통수단은 점진적으로 허용되고 있다. 이에 따라, 필리핀 관광부는 모든 대중교통 탑승객들에게 마스크를 착용하고 사회적 거리 두기를 준수할 것을 강조했다. 모든 교통수단은 전체 탑승 가능 승객수의 50%만 탑승이 가능하다. 또한 관광객 전용 교통수단의 경우에는, 기본 위생 키트 및 비접촉식 체온계를 구비해야 한다. 현재 외국인들의 필리핀"
d2844b7141cb4a2594d433e9c1e5cd0c,37
be39b91f52a04b0aaafc96ff505cb2fc,독일군
